idx,name,price
1, Origen  ,96381
2, Santa María De Iquique. La Muerte de la República (Novela)  ,82000
3, UNA COLUMNA DE FUEGO  ,54048
4, Juego de Tronos (Cancion de Hielo y Fuego #1) (b)  ,73190
5, Los Amantes de Praga  ,78762
6," Trilogía de la Nube Blanca (Incluye en el País de la Nube Blanca, la Canción de los Maoríes y el Grito de la Tierra) (Grandes Novelas)  ",170048
7, Trilogia de la Fundacion [Fundacion / Fundacion e Imperio / Segunda Fundacion]  ,84190
8, El Silencio de los Malditos  ,82000
9, Origen  ,75143
10, Sigo Siendo yo (yo Antes de tí #3)  ,84952
11, La Bailarina de Auschwitz  ,81714
12, Apocalipsis  ,73190
13," Escrito en el Agua (libro en Español | ISBN: 9789563602746 | Código: 10184331 | Formato: 13 x 21,5 cm. | Presentación: Tapa Blanda | Colección: Planeta Internacional | Traductor: Aleix Montoto )  ",84667
14, It (Eso)  ,72571
15, Una Cancion Para Lya. Ciencia Ficcion i  ,56905
16," Chica de Antes, la  ",59524
17, Codigo America  ,79048
18, Fin de Guardia  ,79048
19, Confesiones de una Soltera  ,67286
20, Viajeros de la Noche. Ciencia Ficcion ii  ,59000
21, Festín de cuervos  ,73190
22, Los Reyes Malditos Iii. Los Venenos de la Corona  ,67286
23, Más Oscuro  ,87905
24, It  ,94571
25, Flor de Lis y el León. Reyes Malditos VI  ,67286
26, Los Reyes Malditos Vii. De Como un rey Perdió Francia  ,67286
27, El Bosque Oscuro ( Libro 2 de la Trilogia Tres Cuerpos )  ,54952
28, El Hombre que Perseguía su Sombra  ,105238
29, Esa vida que imaginamos  ,78762
30, Más Allá del Invierno  ,82000
31, La Chica del Tren  ,81714
32, Te Esperaré Toda mi Vida  ,59952
33, La luz que no puedes ver  ,93762
34, Balmaceda. La Guerra Entre Chilenos (Novela)  ,87905
35, Mr. Mercedes  ,82000
36, CHOQUE DE REYES [Paperback] MARTIN  ,73238
37, Salisbury  ,81714
38, El Temor de un Hombre Sabio  ,47000
39, El Problema de los Tres Cuerpos  ,82714
40, El Verbo Kaifman  ,69952
41, Andinia. La Catedral Antartica  ,87619
42, La Sangre de los Dioses (Las Memorias del Juramento #3) (libro en Castellano )  ,90810
43, Yo Antes de tí (yo Antes de tí #1)  ,82000
44, El Pozo de la Ascension  ,63190
45, Synco (Nueva Edicion)  ,79048
46, El Caballero de los Siete Reinos  ,199524
47, Sorpréndeme  ,56524
48," Pídeme lo que Quieras, Ahora y Siempre  ",53905
49, El Laberinto de los Espiritus  ,105238
50, El Psicoanalista  ,97952
51, Olvidé Olvidarte  ,47000
52, Arcanum Ilimitado: La Colección del Cosmere (la Coleccion del Cosmere  ,80476
53, El Invierno del Mundo  ,70524
54, El Ùltimo Virrey Del Perú  ,75810
55, El amante japonés  ,82000
56, Nacidos de la Bruma 5: Sombras de Identidad  ,59000
57, Dientes de Dragón  ,79048
58, Asesinato en el Orient Express  ,64048
59, Mujeres que Compran Flores  ,84952
60, Te lo Dije  ,59952
61, carrie  ,64429
62, Desearas  ,53857
63, Un mundo sin fin (EXITOS) ,82714
64, Pideme lo que Quieras o Déjame: Serie Pideme lo que Quieras 3  ,56524
65, El Hobbit  ,65810
66, Colorado kid  ,52810
67, El Hombre en el Castillo  ,59952
68, Código Chile  ,79048
69, Cincuenta Sombras de Grey  ,73190
70, Aleación de ley (Nacidos de la Bruma [Mistborn] 4)  ,80476
71, Un Mundo sin fin  ,67619
72, Cincuenta Sombras Liberadas  ,54048
73, Neverwhere  ,70524
74, El Método 15/33  ,93048
75, Las Hijas del Capitán  ,96381
76, La Chica que Dejaste Atras  ,84952
77, El dia que el Cielo se Caiga  ,68095
78, El Amante Japonés  ,54952
79, El Envío  ,84952
80, Tormenta de espadas  ,84952
81, Nuestos años verde olivo  ,42000
82, Festín de cuervos. Canción de hielo y fuego IV  ,105524
83, Personas Desconocidas  ,71667
84," Hola,¿ Te Acuerdas de mí?  ",57000
85, LAS HIJAS DEL CAPITAN  ,73810
86, Tu Segunda Vida Empieza Cuando Descubres que Solo Tienes una  ,121952
87, El Aliento de los Dioses  ,93857
88, Fantasmas del Pasado  ,52714
89, Brazales de Duelo (Nacidos de la Bruma [Mistborn] 6) (Nova)  ,80476
90, Jaque Al Psicoanalista ,79048
91, Mensaje en una Botella  ,61429
92, Cuéntame Esta Noche: Relatos Seleccionados (Especial Enero 2016)  ,34905
93, Ángeles y Demonios (libro en CastellanoNº Edición: 1Fecha de edición: 01 ,56905
94, Fortaleza Digital  ,66905
95, Cincuenta Sombras mas Oscuras  ,73190
96, El Símbolo Perdido  ,66905
97, Sígueme la Corriente  ,59952
98, Sofía No Está Bien. Una Historia De Amor y Otras Apps  ,73190
99, Uno mas uno  ,79048
100, Alex  ,79048
101, Diario de una Pasion  ,67286
102, Aprendiz de asesino. Trilogía del asesino. Libro I  ,76095
103, Adivina Quién soy (la Erótica)  ,57000
104, El verbo kaifman  ,81714
105, La Villa de las Telas  ,101286
106, El Señor de los Anillos. Ilustrado por Alan lee (Biblioteca j. R. R. Tolkien)  ,959524
107, Adivina Quien soy Esta Noche: Serie Adivina Quien soy 2  ,57000
108, Toda la Verdad  ,84667
109, Anatomia De Un Escandalo ,60667
110, Blockade Billy  ,45810
111, El Rumor de la Caracola  ,62000
112, Lo Mejor de mi  ,54476
113, La Universidad es un Desastre  ,81714
114, Diario de una Pasion Spanish Edition  ,61810
115, Armada  ,70524
116, Los Detectives Salvajes  ,86952
117, Desaparecido en Concepcion  ,79048
118, El Principe Lestat y los Reinos de la Atlantida  ,56000
119, La Naranja Mecánica  ,68762
120, Dime Quien soy  ,58190
121, El Fuego Invisible (Premio Planeta 2018)  ,84667
122, El Juego del Angel  ,75810
123, Mago y Cristal (la Torre Oscura #4) (b)  ,70238
124, La Obsesion  ,63524
125, Patria  ,73810
126, Un abogado rebelde  ,84952
127," Tú, Nada más  ",79762
128, 3. La Legion Perdida  Trilogia de Trajano  ,85238
129, La Elegancia del Erizo  ,64048
130, Los Pilares de la Tierra  ,82714
131, Un Extraño en Casa  ,79048
132, Doctor Sueño  ,68048
133, Una Herencia Misteriosa  ,79048
134, Una Promesa en el fin del Mundo  ,84952
135, Niyomismalosé  ,63381
136, Aniquilación  ,92286
137, Mas Alla del Invierno  ,67619
138, Los Médici. Un Hombre al Poder (Los Médici 2)  ,69333
139, El Resplandor  ,65238
