idx,name,price
1,Libro El Hombre Mas Rico De Babilonia +...,15900
2,Jaque Al Psicoanalista,52000
3,Libro El Milagro De La Dinámica Mental,15900
4,Quinientas Veces Tu Nombre,64900
5,Pascualina Hollywood 2019,70000
6,Asfixia,59900
7,Hábitos de ricos,42000
8,El Arte De No Amargarse La Vida,54000
9,"Expedientes X, Colombia",37900
10,El Tambor De Hojalata,48000
11,Voces De Chernobil,37900
12,LA VENTAJA DEL GANADOR,54000
13,El Principito + Separador de Páginas,14900
14,Poemas Lewis Carroll,53900
15,La Historia Del Amor - 2 Edicion,52000
16,LIBRO PIENSE Y HAGASE RICO,55000
17,"Hilo Rojo, El",39900
18,Harry Potter Y La Piedra Filosofal Raven...,70000
19,La Chica Invisible,49000
20,La Leccion De August - Extraordinario,43000
21,Libro El Diario De Ana Frank,15900
22,El Juego De La Vida Y Cómo Jugarlo + Sep...,15900
23,Coaching Para Conseguir Tu Libertad Fina...,27900
24,La Zona Muerta,39000
25,Mi Viaje Sin Ti,59900
26,Gracias Por El Fuego,36500
27,Vestido De Novia,46900
28,Ready Player One,44000
29,El Prestigio De La Belleza,33900
30,"Cuentos De Amor, De Locura Y De Muerte -...",24000
31,Destroza este diario. Rojo,32000
32,Política para amador,32000
33,Inventario 2 Poesia (1986-1991) - Mario...,45000
34,Hamlet + Separador de Páginas,14900
35,La Metamorfosis Y Otros Relatos,19500
36,La Divina Comedia,30000
37,Hija De La Fortuna,26000
38,El hombre mas rico de Babilonia Libro or...,24900
39,Marketing Al Desnudo,27900
40,La Sombra Sobre Innsmouth. Relatos Escog...,19900
41,El Hombre mas Rico de Babilonia Editoria...,27000
42,José Antonio Galán + Tiempo de leer + So...,26000
43,El Desbarrancadero - Fernando Vallejo,35000
44,Tus Zonas Erróneas- Wayne W.Dyer,45000
45,Romeo Y Julieta  + Separador De Páginas,14900
46,"Dios De Las Pequeñas Cosas, El",37900
47,Harry Potter Y La Piedra Filosofal Slyth...,70000
48,Los Pilares De La Tierra,59000
49,La Danza De La Realidad,47000
50,Mujeres,49000
51,El Hombre Mas Rico De Babilonia,55000
52,La Divina Comedia,30000
53,Libro El hombre nace puro y ¿ellas lo co...,36000
54,Antología Poesía Popular Julio Flórez -...,14900
55,La Perla + Separador de Páginas,14900
56,Cuentos de la Selva + Separador de Págin...,14900
57,El Viejo y el Mar + Separador de Páginas,14900
58,Antología Poética José Asunción Silva -...,14900
59,La Iglesia De La Misericordia,47000
60,Las Valkirias,36000
61,QUE VIVA LA MUSICA,42000
62,Tus Zonas Erróneas,42000
63,El Paraíso En La Otra Esquina,51000
64,Cien Años De Soledad,32900
65,Crónica De Una Muerte Anunciada (Edición...,27000
66,Puberman,59000
67,En Llamas,21000
68,Puente De Hierro,53900
69,Baluarte,37900
70,Poemas De Amor (Traduccion De Elvira Sas...,53900
71,Dejo La Cicatriz Abierta Por Si Decides...,53900
72,Gabo En Mi Memoria,57900
73,"Dias Extraños, Los",44900
74,"Dias Que No Queremos, Los",53900
75,"Ceniza De Tu Nombre, La",53900
76,Anillo De Silencio,44900
77,En El Solar Del Nomada,53900
78,Ultimo Rey Sobre La Tierra,89900
79,Modelo 1972: 12 Poetas Ecuatorianos,53900
80,En Busca De Gulf Motel,62900
81,Movimiento De La Tierra. Premio Internac...,32900
82,"Solitario Oficio De La Resistencia, El",53900
83,The Simple Truth,58900
84,"Casa De Las Luciernagas, La",44900
85,Dias De Gratitud Antologia Poetica,38900
86,Al Umbral De Las Horas,44900
87,Palabras Que Saben Morder En Los Sueños,44900
88,Cuerpo A Tu Tierra,53900
89,Ahora Es La Noche,44900
90,Suma Poetica (1976-2008),44900
91,Palabras De Fuego,66900
92,Aviones De Papel Bajo La Lluvia,44900
93,"Pais Entre Nosotros, El",53900
94,"Angulos Del Cielo, Los",44900
95,Memorias Del Mar,44900
96,"Corazon De La Gacela, El",53900
97,Amores Cronofobicos,53900
98,"Ataraxia Del Corazon, La",53900
99,Arquitectura Del Silencio,46900
100,Re-Generacion. Antologia De Poesia Españ...,66900
101,Vida Despues De La Huida,53900
102,Licencia Para Bailar,44900
103,Hormigas En El Aire,53900
104,Epopeya De Las Comarcas,53900
105,Nada Mas Que Perder,53900
106,En Cantos Coolies,44900
107,Papeles Arrugados,53900
108,Ahora Que Solo Somos Incendio,50900
109,Si El Silencio Tomara La Palabra,57900
110,Como Escapar De La Isla De Villings,53900
111,Lento Asedio De Niebla,53900
112,Por Que Cortarse Una Oreja,53900
113,"Imprudencia De Vivir, La",53900
114,Magoa,44900
115,"Chica Que Se Ha Quedado Sola, La",44900
116,Manumision,53900
117,Hoy Dia Es Otro Mundo,44900
118,No Solo La Lluvia,53900
119,"Pajaros Sabran, Los",57900
120,Concedeme Esta Guerra,53900
121,Estrella Invisible. Seleccion De Poemas...,53900
122,"Fruto De La Gramatica, El",53900
123,Paris Me Ha Rechazado,44900
124,Nadie Podra Decir Que Tu Reino No Existe,53900
125,La Montaña De Rio Blanco,29000
126,Narraciones Extraordinarias - Edgar Alla...,28000
127,Cultivo Y Explotación Del Cacao ,159000
128,El Origen De La Vida,25000
129,Guerra Y Paz,79000
130,Las Aventuras De Tom Sawyer,30000
131,"El Profeta, El Loco",17000
132,Orgullo Y Prejuicio,36000
133,Fausto,29000
134,Muerte En El Nilo,25000
135,Las Aventuras De Tom Sawyer,29000
136,Mas Alla Del Bien Y Del Mal,30000
137,EL CURIOSO INCIDENTE DEL PERRO A MEDIANO...,42000
138,El Silencio En La Era Del Ruido,44000
139,Las Mil Y Una Noches 2 Vols,180000
140,El Retrato De Dorian Gray,30000
141,Obras Selectas De Vargas Vila,79000
142,Poema Del Mio Cid,25000
143,La Isla Del Tesoro,21000
144,Campus Escenico,94900
145,Veinte Poemas - Residencia En La Tierra,30000
146,El Origen De Las Especies ,47000
147,Cuentos De La Selva ,25000
148,Drácula,30000
149,Así Hablaba Zaratustra,30000
150,Obras Selectas Sherlock Holmes,79000
151,Niebla,30000
152,El Conde De Montecristo,68000
153,Hamlet - Macbeth ,25000
154,El Mundo Perdido,29000
155,Colmillo Blanco,19000
156,La Economía Azul ,48000
157,La Muerte Visita Al Dentista,25000
158,Rebelión En La Granja,23000
159,Un Año De Poesia  - Primera Parte Enero...,10000
160,La Vuelta Al Mundo En 80 Días,20000
161,El Extranjero,35000
162,Romeo Y Julieta,30000
163,Manual De Nutrición Animal,370000
164,El Vuelo Magico,130000
165,Obras Completas (4) - Franz Kafka,240000
166,No Hay Causa Perdida,99000
167,Crimen Y Castigo,89000
168,Alicia A Traves Del Espejo ,25000
169,El Origen De Las Especies - Charles Darw...,45000
170,La Montaña Magica,59000
171,Los Pasos Perdidos ,30000
172,Temas De Orientación Técnica Tot Práctic...,89000
173,El Marqués De Sade,25000
174,La Peste ,30000
175,Cultivo Y Explotación De La Guanabana,152000
176,"Ciencia, Tecnología E Industria De Alime...",296000
177,El Alma De La Toga,25000
178,Así Hablaba Zaratustra,30000
179,America,29000
180,El Lobo Estepario,32000
181,Temas De Orientación Tot Práctico En Bel...,89000
182,Los Viajes De Gulliver,29000
183,Obras Selectas De H. P. Lovecraft,99000
184,El Extraño Caso Del Doctor Jekyll Y Mr....,25000
185,La Colmena,30000
186,Necronomicón Los Mejores Relatos,30000
187,El Viejo Y El Mar ,24000
188,Temas De Orientación Top Practico En Dis...,89000
189,El Fantasma De Canterville,17000
190,La Divina Comedia,50000
191,Antologia De Terror,90000
192,Aprende A Dibujar Comic,69000
193,Cronicas Marcianas ,37000
194,Popol Vuh ,29000
195,El Príncipe,30000
196,La Dinamica De Las 4 Aes ,50000
197,Crimen Y Castigo,45000
198,El Diario De Ana Frank,30000
199,La Misa Ha Terminado,35000
200,Memoria Y El Perdon Las Comisiones De La...,59900
201,Expropiacion Forzosa En America Latina Y...,91900
202,Travesias Por El Caribe Contemporaneo. L...,58900
203,"Diecinueve Enaguas, Las",18900
204,Camilo Torres Restrepo. Sacerdocio Y Pol...,55150
205,Pensamiento Y Accion. Los Senderos Recor...,46900
206,Perfiles Del Libertador,36900
207,Relatos Sin Calibre Parece Que Prefieres...,18900
208,Ladron Que Roba Ladron,18900
209,Correspondencia Con Los Arboles,18900
210,"Ultimas Aluas De La Noche, Las",48900
211,Un Largo Invierno Sin Promesas,20900
212,Un Profeta Invisibilizado. Monseñor Gera...,28900
213,Recintos Del Extranjero,18900
214,Maestro Cuento,38900
215,Palabras Que Migran,36900
216,Transculturacion Narrativa: La Clave Way...,28900
217,Recuerdos De Infancia Y Anecdotario,38900
218,Busqueda Del Paraiso. Una Biografia De J...,28900
219,50 Meses En Moscu,36900
220,Jorge Zalamea Enlace De Mundos. Quehacer...,67900
221,Cartas De Amor En Tiempos De Guerra,53900
222,Voces De Las Tierras Bajas,25900
223,Autorretrato De Otro Sueños De La Isla Y...,62900
224,Palabras Al Fresco. Poemario,25900
225,Memorias Criticas De Un Estudiante De Hu...,18900
226,Sin Asombro Y Sin Ira,56900
227,Primero De Mayo Y Otros Cuentos,40900
228,"Enfermedad Feliz Y Otras Obras, La",56900
229,Cuaderno De Memorias Coloniales,46900
230,"Dama Del Bar Nevada Y Otros Cuentos, La",35900
231,De Ferney A Paris,24900
232,Enciclopedia,51900
233,"Gran Burundun Burunda Ha Muerto, El",46900
234,Una Holandesa En America,67900
235,Ciudad Antes Del Alba Antologia Poetica,46900
236,"Niño De Ojos De Gigante, El",67900
