idx,name,price
1, Origen  ,$ 96.381
2, Santa María De Iquique. La Muerte de la República (Novela)  ,$ 82.000
3, UNA COLUMNA DE FUEGO  ,$ 54.048
4, Juego de Tronos (Cancion de Hielo y Fuego #1) (b)  ,$ 73.190
5, Los Amantes de Praga  ,$ 78.762
6," Trilogía de la Nube Blanca (Incluye en el País de la Nube Blanca, la Canción de los Maoríes y el Grito de la Tierra) (Grandes Novelas)  ",$ 170.048
7, Trilogia de la Fundacion [Fundacion / Fundacion e Imperio / Segunda Fundacion]  ,$ 84.190
8, El Silencio de los Malditos  ,$ 82.000
9, Origen  ,$ 75.143
10, Sigo Siendo yo (yo Antes de tí #3)  ,$ 84.952
11, La Bailarina de Auschwitz  ,$ 81.714
12, Apocalipsis  ,$ 73.190
13," Escrito en el Agua (libro en Español | ISBN: 9789563602746 | Código: 10184331 | Formato: 13 x 21,5 cm. | Presentación: Tapa Blanda | Colección: Planeta Internacional | Traductor: Aleix Montoto )  ",$ 84.667
14, It (Eso)  ,$ 72.571
15, Una Cancion Para Lya. Ciencia Ficcion i  ,$ 56.905
16," Chica de Antes, la  ",$ 59.524
17, Codigo America  ,$ 79.048
18, Fin de Guardia  ,$ 79.048
19, Confesiones de una Soltera  ,$ 67.286
20, Viajeros de la Noche. Ciencia Ficcion ii  ,$ 59.000
21, Festín de cuervos  ,$ 73.190
22, Los Reyes Malditos Iii. Los Venenos de la Corona  ,$ 67.286
23, Más Oscuro  ,$ 87.905
24, It  ,$ 94.571
25, Flor de Lis y el León. Reyes Malditos VI  ,$ 67.286
26, Los Reyes Malditos Vii. De Como un rey Perdió Francia  ,$ 67.286
27, El Bosque Oscuro ( Libro 2 de la Trilogia Tres Cuerpos )  ,$ 54.952
28, El Hombre que Perseguía su Sombra  ,$ 105.238
29, Esa vida que imaginamos  ,$ 78.762
30, Más Allá del Invierno  ,$ 82.000
31, La Chica del Tren  ,$ 81.714
32, Te Esperaré Toda mi Vida  ,$ 59.952
33, La luz que no puedes ver  ,$ 93.762
34, Balmaceda. La Guerra Entre Chilenos (Novela)  ,$ 87.905
35, Mr. Mercedes  ,$ 82.000
36, CHOQUE DE REYES [Paperback] MARTIN  ,$ 73.238
37, Salisbury  ,$ 81.714
38, El Temor de un Hombre Sabio  ,$ 47.000
39, El Problema de los Tres Cuerpos  ,$ 82.714
40, El Verbo Kaifman  ,$ 69.952
41, Andinia. La Catedral Antartica  ,$ 87.619
42, La Sangre de los Dioses (Las Memorias del Juramento #3) (libro en Castellano )  ,$ 90.810
43, Yo Antes de tí (yo Antes de tí #1)  ,$ 82.000
44, El Pozo de la Ascension  ,$ 63.190
45, Synco (Nueva Edicion)  ,$ 79.048
46, El Caballero de los Siete Reinos  ,$ 199.524
47, Sorpréndeme  ,$ 56.524
48," Pídeme lo que Quieras, Ahora y Siempre  ",$ 53.905
49, El Laberinto de los Espiritus  ,$ 105.238
50, El Psicoanalista  ,$ 97.952
51, Olvidé Olvidarte  ,$ 47.000
52, Arcanum Ilimitado: La Colección del Cosmere (la Coleccion del Cosmere  ,$ 80.476
53, El Invierno del Mundo  ,$ 70.524
54, El Ùltimo Virrey Del Perú  ,$ 75.810
55, El amante japonés  ,$ 82.000
56, Nacidos de la Bruma 5: Sombras de Identidad  ,$ 59.000
57, Dientes de Dragón  ,$ 79.048
58, Asesinato en el Orient Express  ,$ 64.048
59, Mujeres que Compran Flores  ,$ 84.952
60, Te lo Dije  ,$ 59.952
61, carrie  ,$ 64.429
62, Desearas  ,$ 53.857
63, Un mundo sin fin (EXITOS) ,$ 82.714
64, Pideme lo que Quieras o Déjame: Serie Pideme lo que Quieras 3  ,$ 56.524
65, El Hobbit  ,$ 65.810
66, Colorado kid  ,$ 52.810
67, El Hombre en el Castillo  ,$ 59.952
68, Código Chile  ,$ 79.048
69, Cincuenta Sombras de Grey  ,$ 73.190
70, Aleación de ley (Nacidos de la Bruma [Mistborn] 4)  ,$ 80.476
71, Un Mundo sin fin  ,$ 67.619
72, Cincuenta Sombras Liberadas  ,$ 54.048
73, Neverwhere  ,$ 70.524
74, El Método 15/33  ,$ 93.048
75, Las Hijas del Capitán  ,$ 96.381
76, La Chica que Dejaste Atras  ,$ 84.952
77, El dia que el Cielo se Caiga  ,$ 68.095
78, El Amante Japonés  ,$ 54.952
79, El Envío  ,$ 84.952
80, Tormenta de espadas  ,$ 84.952
81, Nuestos años verde olivo  ,$ 42.000
82, Festín de cuervos. Canción de hielo y fuego IV  ,$ 105.524
83, Personas Desconocidas  ,$ 71.667
84," Hola,¿ Te Acuerdas de mí?  ",$ 57.000
85, LAS HIJAS DEL CAPITAN  ,$ 73.810
86, Tu Segunda Vida Empieza Cuando Descubres que Solo Tienes una  ,$ 121.952
87, El Aliento de los Dioses  ,$ 93.857
88, Fantasmas del Pasado  ,$ 52.714
89, Brazales de Duelo (Nacidos de la Bruma [Mistborn] 6) (Nova)  ,$ 80.476
90, Jaque Al Psicoanalista ,$ 79.048
91, Mensaje en una Botella  ,$ 61.429
92, Cuéntame Esta Noche: Relatos Seleccionados (Especial Enero 2016)  ,$ 34.905
93, Ángeles y Demonios (libro en CastellanoNº Edición: 1Fecha de edición: 01 ,$ 56.905
94, Fortaleza Digital  ,$ 66.905
95, Cincuenta Sombras mas Oscuras  ,$ 73.190
96, El Símbolo Perdido  ,$ 66.905
97, Sígueme la Corriente  ,$ 59.952
98, Sofía No Está Bien. Una Historia De Amor y Otras Apps  ,$ 73.190
99, Uno mas uno  ,$ 79.048
100, Alex  ,$ 79.048
101, Diario de una Pasion  ,$ 67.286
102, Aprendiz de asesino. Trilogía del asesino. Libro I  ,$ 76.095
103, Adivina Quién soy (la Erótica)  ,$ 57.000
104, El verbo kaifman  ,$ 81.714
105, La Villa de las Telas  ,$ 101.286
106, El Señor de los Anillos. Ilustrado por Alan lee (Biblioteca j. R. R. Tolkien)  ,$ 959.524
107, Adivina Quien soy Esta Noche: Serie Adivina Quien soy 2  ,$ 57.000
108, Toda la Verdad  ,$ 84.667
109, Anatomia De Un Escandalo ,$ 60.667
110, Blockade Billy  ,$ 45.810
111, El Rumor de la Caracola  ,$ 62.000
112, Lo Mejor de mi  ,$ 54.476
113, La Universidad es un Desastre  ,$ 81.714
114, Diario de una Pasion Spanish Edition  ,$ 61.810
115, Armada  ,$ 70.524
116, Los Detectives Salvajes  ,$ 86.952
