idx,name,price
1,Libro El Hombre Mas Rico De Babilonia +...,$15.900
2,Jaque Al Psicoanalista,$52.000
3,Libro El Milagro De La Dinámica Mental,$15.900
4,Quinientas Veces Tu Nombre,$64.900
5,Pascualina Hollywood 2019,$70.000
6,Asfixia,$59.900
7,Hábitos de ricos,$42.000
8,El Arte De No Amargarse La Vida,$54.000
9,"Expedientes X, Colombia",$37.900
10,El Tambor De Hojalata,$48.000
11,Voces De Chernobil,$37.900
12,LA VENTAJA DEL GANADOR,$54.000
13,El Principito + Separador de Páginas,$14.900
14,Poemas Lewis Carroll,$53.900
15,La Historia Del Amor - 2 Edicion,$52.000
16,LIBRO PIENSE Y HAGASE RICO,$55.000
17,"Hilo Rojo, El",$39.900
18,Harry Potter Y La Piedra Filosofal Raven...,$70.000
19,La Chica Invisible,$49.000
20,La Leccion De August - Extraordinario,$43.000
21,Libro El Diario De Ana Frank,$15.900
22,El Juego De La Vida Y Cómo Jugarlo + Sep...,$15.900
23,Coaching Para Conseguir Tu Libertad Fina...,$27.900
24,La Zona Muerta,$39.000
25,Mi Viaje Sin Ti,$59.900
26,Gracias Por El Fuego,$36.500
27,Vestido De Novia,$46.900
28,Ready Player One,$44.000
29,El Prestigio De La Belleza,$33.900
30,"Cuentos De Amor, De Locura Y De Muerte -...",$24.000
31,Destroza este diario. Rojo,$32.000
32,Política para amador,$32.000
33,Inventario 2 Poesia (1986-1991) - Mario...,$45.000
34,Hamlet + Separador de Páginas,$14.900
35,La Metamorfosis Y Otros Relatos,$19.500
36,La Divina Comedia,$30.000
37,Hija De La Fortuna,$26.000
38,El hombre mas rico de Babilonia Libro or...,$24.900
39,Marketing Al Desnudo,$27.900
40,La Sombra Sobre Innsmouth. Relatos Escog...,$19.900
41,El Hombre mas Rico de Babilonia Editoria...,$27.000
42,José Antonio Galán + Tiempo de leer + So...,$26.000
43,El Desbarrancadero - Fernando Vallejo,$35.000
44,Tus Zonas Erróneas- Wayne W.Dyer,$45.000
45,Romeo Y Julieta  + Separador De Páginas,$14.900
46,"Dios De Las Pequeñas Cosas, El",$37.900
47,Harry Potter Y La Piedra Filosofal Slyth...,$70.000
48,Los Pilares De La Tierra,$59.000
49,La Danza De La Realidad,$47.000
50,Mujeres,$49.000
51,El Hombre Mas Rico De Babilonia,$55.000
52,La Divina Comedia,$30.000
53,Libro El hombre nace puro y ¿ellas lo co...,$36.000
54,Antología Poesía Popular Julio Flórez -...,$14.900
55,La Perla + Separador de Páginas,$14.900
56,Cuentos de la Selva + Separador de Págin...,$14.900
57,El Viejo y el Mar + Separador de Páginas,$14.900
58,Antología Poética José Asunción Silva -...,$14.900
59,La Iglesia De La Misericordia,$47.000
60,Las Valkirias,$36.000
61,QUE VIVA LA MUSICA,$42.000
62,Tus Zonas Erróneas,$42.000
63,El Paraíso En La Otra Esquina,$51.000
64,Cien Años De Soledad,$32.900
65,Crónica De Una Muerte Anunciada (Edición...,$27.000
66,Puberman,$59.000
67,En Llamas,$21.000
68,Puente De Hierro,$53.900
69,Baluarte,$37.900
70,Poemas De Amor (Traduccion De Elvira Sas...,$53.900
71,Dejo La Cicatriz Abierta Por Si Decides...,$53.900
72,Gabo En Mi Memoria,$57.900
73,"Dias Extraños, Los",$44.900
74,"Dias Que No Queremos, Los",$53.900
75,"Ceniza De Tu Nombre, La",$53.900
76,Anillo De Silencio,$44.900
77,En El Solar Del Nomada,$53.900
78,Ultimo Rey Sobre La Tierra,$89.900
79,Modelo 1972: 12 Poetas Ecuatorianos,$53.900
80,En Busca De Gulf Motel,$62.900
81,Movimiento De La Tierra. Premio Internac...,$32.900
82,"Solitario Oficio De La Resistencia, El",$53.900
83,The Simple Truth,$58.900
84,"Casa De Las Luciernagas, La",$44.900
85,Dias De Gratitud Antologia Poetica,$38.900
86,Al Umbral De Las Horas,$44.900
87,Palabras Que Saben Morder En Los Sueños,$44.900
88,Cuerpo A Tu Tierra,$53.900
89,Ahora Es La Noche,$44.900
90,Suma Poetica (1976-2008),$44.900
91,Palabras De Fuego,$66.900
92,Aviones De Papel Bajo La Lluvia,$44.900
93,"Pais Entre Nosotros, El",$53.900
94,"Angulos Del Cielo, Los",$44.900
95,Memorias Del Mar,$44.900
96,"Corazon De La Gacela, El",$53.900
97,Amores Cronofobicos,$53.900
98,"Ataraxia Del Corazon, La",$53.900
99,Arquitectura Del Silencio,$46.900
100,Re-Generacion. Antologia De Poesia Españ...,$66.900
101,Vida Despues De La Huida,$53.900
102,Licencia Para Bailar,$44.900
103,Hormigas En El Aire,$53.900
104,Epopeya De Las Comarcas,$53.900
105,Nada Mas Que Perder,$53.900
106,En Cantos Coolies,$44.900
107,Papeles Arrugados,$53.900
108,Ahora Que Solo Somos Incendio,$50.900
109,Si El Silencio Tomara La Palabra,$57.900
110,Como Escapar De La Isla De Villings,$53.900
111,Lento Asedio De Niebla,$53.900
112,Por Que Cortarse Una Oreja,$53.900
113,"Imprudencia De Vivir, La",$53.900
114,Magoa,$44.900
115,"Chica Que Se Ha Quedado Sola, La",$44.900
116,Manumision,$53.900
117,Hoy Dia Es Otro Mundo,$44.900
118,No Solo La Lluvia,$53.900
119,"Pajaros Sabran, Los",$57.900
120,Concedeme Esta Guerra,$53.900
121,Estrella Invisible. Seleccion De Poemas...,$53.900
122,"Fruto De La Gramatica, El",$53.900
123,Paris Me Ha Rechazado,$44.900
124,Nadie Podra Decir Que Tu Reino No Existe,$53.900
125,La Montaña De Rio Blanco,$29.000
126,Narraciones Extraordinarias - Edgar Alla...,$28.000
127,Cultivo Y Explotación Del Cacao ,$159.000
128,El Origen De La Vida,$25.000
129,Guerra Y Paz,$79.000
130,Las Aventuras De Tom Sawyer,$30.000
131,"El Profeta, El Loco",$17.000
132,Orgullo Y Prejuicio,$36.000
133,Fausto,$29.000
134,Muerte En El Nilo,$25.000
135,Las Aventuras De Tom Sawyer,$29.000
136,Mas Alla Del Bien Y Del Mal,$30.000
137,EL CURIOSO INCIDENTE DEL PERRO A MEDIANO...,$42.000
138,El Silencio En La Era Del Ruido,$44.000
139,Las Mil Y Una Noches 2 Vols,$180.000
140,El Retrato De Dorian Gray,$30.000
141,Obras Selectas De Vargas Vila,$79.000
142,Poema Del Mio Cid,$25.000
143,La Isla Del Tesoro,$21.000
144,Campus Escenico,$94.900
145,Veinte Poemas - Residencia En La Tierra,$30.000
146,El Origen De Las Especies ,$47.000
147,Cuentos De La Selva ,$25.000
148,Drácula,$30.000
149,Así Hablaba Zaratustra,$30.000
150,Obras Selectas Sherlock Holmes,$79.000
151,Niebla,$30.000
152,El Conde De Montecristo,$68.000
153,Hamlet - Macbeth ,$25.000
154,El Mundo Perdido,$29.000
155,Colmillo Blanco,$19.000
156,La Economía Azul ,$48.000
157,La Muerte Visita Al Dentista,$25.000
158,Rebelión En La Granja,$23.000
159,Un Año De Poesia  - Primera Parte Enero...,$10.000
160,La Vuelta Al Mundo En 80 Días,$20.000
161,El Extranjero,$35.000
162,Romeo Y Julieta,$30.000
163,Manual De Nutrición Animal,$370.000
164,El Vuelo Magico,$130.000
165,Obras Completas (4) - Franz Kafka,$240.000
166,No Hay Causa Perdida,$99.000
167,Crimen Y Castigo,$89.000
168,Alicia A Traves Del Espejo ,$25.000
169,El Origen De Las Especies - Charles Darw...,$45.000
170,La Montaña Magica,$59.000
171,Los Pasos Perdidos ,$30.000
172,Temas De Orientación Técnica Tot Práctic...,$89.000
173,El Marqués De Sade,$25.000
174,La Peste ,$30.000
175,Cultivo Y Explotación De La Guanabana,$152.000
176,"Ciencia, Tecnología E Industria De Alime...",$296.000
177,El Alma De La Toga,$25.000
178,Así Hablaba Zaratustra,$30.000
179,America,$29.000
180,El Lobo Estepario,$32.000
181,Temas De Orientación Tot Práctico En Bel...,$89.000
182,Los Viajes De Gulliver,$29.000
183,Obras Selectas De H. P. Lovecraft,$99.000
184,El Extraño Caso Del Doctor Jekyll Y Mr....,$25.000
185,La Colmena,$30.000
186,Necronomicón Los Mejores Relatos,$30.000
187,El Viejo Y El Mar ,$24.000
188,Temas De Orientación Top Practico En Dis...,$89.000
189,El Fantasma De Canterville,$17.000
190,La Divina Comedia,$50.000
191,Antologia De Terror,$90.000
192,Aprende A Dibujar Comic,$69.000
193,Cronicas Marcianas ,$37.000
194,Popol Vuh ,$29.000
195,El Príncipe,$30.000
196,La Dinamica De Las 4 Aes ,$50.000
197,Crimen Y Castigo,$45.000
198,El Diario De Ana Frank,$30.000
199,La Misa Ha Terminado,$35.000
200,Memoria Y El Perdon Las Comisiones De La...,$59.900
201,Expropiacion Forzosa En America Latina Y...,$91.900
202,Travesias Por El Caribe Contemporaneo. L...,$58.900
203,"Diecinueve Enaguas, Las",$18.900
204,Camilo Torres Restrepo. Sacerdocio Y Pol...,$55.150
205,Pensamiento Y Accion. Los Senderos Recor...,$46.900
206,Perfiles Del Libertador,$36.900
207,Relatos Sin Calibre Parece Que Prefieres...,$18.900
208,Ladron Que Roba Ladron,$18.900
209,Correspondencia Con Los Arboles,$18.900
210,"Ultimas Aluas De La Noche, Las",$48.900
211,Un Largo Invierno Sin Promesas,$20.900
212,Un Profeta Invisibilizado. Monseñor Gera...,$28.900
213,Recintos Del Extranjero,$18.900
214,Maestro Cuento,$38.900
215,Palabras Que Migran,$36.900
216,Transculturacion Narrativa: La Clave Way...,$28.900
217,Recuerdos De Infancia Y Anecdotario,$38.900
