idx,name,price
1,Jaque Al Psicoanalista,$52.000
2,Libro El Milagro De La Dinámica Mental,$15.900
3,Pascualina Hollywood 2019,$70.000
4,Asfixia,$59.900
5,Quinientas Veces Tu Nombre,$64.900
6,Hábitos de ricos,$42.000
7,El Arte De No Amargarse La Vida,$54.000
8,"Expedientes X, Colombia",$37.900
9,El Tambor De Hojalata,$48.000
10,Voces De Chernobil,$37.900
11,LA VENTAJA DEL GANADOR,$54.000
12,El Principito + Separador de Páginas,$14.900
13,La Historia Del Amor - 2 Edicion,$52.000
14,LIBRO PIENSE Y HAGASE RICO,$55.000
15,"Hilo Rojo, El",$39.900
16,Harry Potter Y La Piedra Filosofal Raven...,$70.000
17,La Chica Invisible,$49.000
18,La Leccion De August - Extraordinario,$43.000
19,Libro El Diario De Ana Frank,$15.900
20,El Juego De La Vida Y Cómo Jugarlo + Sep...,$15.900
21,Coaching Para Conseguir Tu Libertad Fina...,$27.900
22,La Zona Muerta,$39.000
23,Mi Viaje Sin Ti,$59.900
24,Gracias Por El Fuego,$36.500
25,Vestido De Novia,$46.900
26,Ready Player One,$44.000
27,El Prestigio De La Belleza,$33.900
28,"Cuentos De Amor, De Locura Y De Muerte -...",$24.000
29,Destroza este diario. Rojo,$32.000
30,Política para amador,$32.000
31,Inventario 2 Poesia (1986-1991) - Mario...,$45.000
32,Hamlet + Separador de Páginas,$14.900
33,La Metamorfosis Y Otros Relatos,$19.500
34,La Divina Comedia,$30.000
35,Hija De La Fortuna,$26.000
36,El hombre mas rico de Babilonia Libro or...,$24.900
37,Marketing Al Desnudo,$27.900
38,La Sombra Sobre Innsmouth. Relatos Escog...,$19.900
39,El Hombre mas Rico de Babilonia Editoria...,$27.000
40,José Antonio Galán + Tiempo de leer + So...,$26.000
41,El Desbarrancadero - Fernando Vallejo,$35.000
42,Tus Zonas Erróneas- Wayne W.Dyer,$45.000
43,Romeo Y Julieta  + Separador De Páginas,$14.900
44,"Dios De Las Pequeñas Cosas, El",$37.900
45,Harry Potter Y La Piedra Filosofal Slyth...,$70.000
46,Los Pilares De La Tierra,$59.000
47,La Danza De La Realidad,$47.000
48,Mujeres,$49.000
49,El Hombre Mas Rico De Babilonia,$55.000
50,La Divina Comedia,$30.000
51,Libro El hombre nace puro y ¿ellas lo co...,$36.000
52,Antología Poesía Popular Julio Flórez -...,$14.900
53,La Perla + Separador de Páginas,$14.900
54,Cuentos de la Selva + Separador de Págin...,$14.900
55,El Viejo y el Mar + Separador de Páginas,$14.900
56,Antología Poética José Asunción Silva -...,$14.900
57,La Iglesia De La Misericordia,$47.000
58,Las Valkirias,$36.000
59,QUE VIVA LA MUSICA,$42.000
60,Tus Zonas Erróneas,$42.000
61,El Paraíso En La Otra Esquina,$51.000
62,Cien Años De Soledad,$32.900
63,Crónica De Una Muerte Anunciada (Edición...,$27.000
64,Puberman,$59.000
65,En Llamas,$21.000
66,Puente De Hierro,$53.900
67,Baluarte,$37.900
68,Poemas De Amor (Traduccion De Elvira Sas...,$53.900
69,Dejo La Cicatriz Abierta Por Si Decides...,$53.900
70,Gabo En Mi Memoria,$57.900
71,"Dias Extraños, Los",$44.900
72,"Dias Que No Queremos, Los",$53.900
73,"Ceniza De Tu Nombre, La",$53.900
74,Anillo De Silencio,$44.900
75,En El Solar Del Nomada,$53.900
76,Poemas Lewis Carroll,$53.900
77,Ultimo Rey Sobre La Tierra,$89.900
78,Modelo 1972: 12 Poetas Ecuatorianos,$53.900
79,En Busca De Gulf Motel,$62.900
80,Movimiento De La Tierra. Premio Internac...,$32.900
81,"Solitario Oficio De La Resistencia, El",$53.900
82,The Simple Truth,$58.900
83,"Casa De Las Luciernagas, La",$44.900
84,Dias De Gratitud Antologia Poetica,$38.900
85,Al Umbral De Las Horas,$44.900
86,Palabras Que Saben Morder En Los Sueños,$44.900
87,Cuerpo A Tu Tierra,$53.900
88,Ahora Es La Noche,$44.900
89,Suma Poetica (1976-2008),$44.900
90,Palabras De Fuego,$66.900
91,Aviones De Papel Bajo La Lluvia,$44.900
92,"Pais Entre Nosotros, El",$53.900
93,"Angulos Del Cielo, Los",$44.900
94,Memorias Del Mar,$44.900
95,"Corazon De La Gacela, El",$53.900
96,Amores Cronofobicos,$53.900
97,"Ataraxia Del Corazon, La",$53.900
98,Arquitectura Del Silencio,$46.900
99,Re-Generacion. Antologia De Poesia Españ...,$66.900
100,Vida Despues De La Huida,$53.900
101,Licencia Para Bailar,$44.900
102,Hormigas En El Aire,$53.900
103,Epopeya De Las Comarcas,$53.900
104,Nada Mas Que Perder,$53.900
105,En Cantos Coolies,$44.900
106,Papeles Arrugados,$53.900
107,Ahora Que Solo Somos Incendio,$50.900
108,Si El Silencio Tomara La Palabra,$57.900
109,Como Escapar De La Isla De Villings,$53.900
110,Lento Asedio De Niebla,$53.900
111,Por Que Cortarse Una Oreja,$53.900
112,"Imprudencia De Vivir, La",$53.900
113,Magoa,$44.900
